date,open,high,low,close,volume,average,barCount
2024-03-28,2418.0,2418.0,2418.0,2418.0,0.0,2418.0,0
2024-04-01,2441.4,2441.4,2441.4,2441.4,0.0,2441.4,0
2024-04-02,2469.0,2469.0,2469.0,2469.0,0.0,2469.0,0
2024-04-03,2503.5,2503.5,2503.5,2503.5,0.0,2503.5,0
2024-04-04,2498.3,2498.3,2498.3,2498.3,0.0,2498.3,0
2024-04-05,2537.2,2537.2,2537.2,2537.2,0.0,2537.2,0
2024-04-08,2544.7,2544.7,2544.7,2544.7,0.0,2544.7,0
2024-04-09,2557.4,2557.4,2557.4,2557.4,0.0,2557.4,0
2024-04-10,2547.9,2547.9,2547.9,2547.9,0.0,2547.9,0
2024-04-11,2573.6,2573.6,2573.6,2573.6,0.0,2573.6,0
2024-04-12,2576.9,2576.9,2576.9,2576.9,0.0,2576.9,0
2024-04-15,2586.7,2586.7,2586.7,2586.7,0.0,2586.7,0
2024-04-16,2612.8,2612.8,2612.8,2612.8,0.0,2612.8,0
2024-04-17,2593.9,2593.9,2593.9,2593.9,0.0,2593.9,0
2024-04-18,2603.3,2603.3,2603.3,2603.3,0.0,2603.3,0
2024-04-19,2619.5,2619.5,2619.5,2619.5,0.0,2619.5,0
2024-04-22,2550.0,2550.0,2550.0,2550.0,0.0,2550.0,0
2024-04-23,2544.0,2544.0,2544.0,2544.0,0.0,2544.0,0
2024-04-24,2540.6,2540.6,2540.6,2540.6,0.0,2540.6,0
2024-04-25,2544.7,2544.7,2544.7,2544.7,0.0,2544.7,0
2024-04-26,2554.3,2554.3,2554.3,2554.3,0.0,2554.3,0
2024-04-29,2565.3,2565.3,2565.3,2565.3,0.0,2565.3,0
2024-04-30,2509.8,2509.8,2509.8,2509.8,0.0,2509.8,0
2024-05-01,2518.2,2518.2,2518.2,2518.2,0.0,2518.2,0
2024-05-02,2516.8,2516.8,2516.8,2516.8,0.0,2516.8,0
2024-05-03,2511.3,2511.3,2511.3,2511.3,0.0,2511.3,0
2024-05-06,2535.0,2535.0,2535.0,2535.0,0.0,2535.0,0
2024-05-07,2527.8,2527.8,2527.8,2527.8,0.0,2527.8,0
