date,open,high,low,close,volume,average,barCount
2025-01-31,4.5165,4.5165,4.5165,4.5165,0.0,4.5165,0
2025-02-03,4.5355,4.5355,4.5355,4.5355,0.0,4.5355,0
2025-02-04,4.581,4.581,4.581,4.581,0.0,4.581,0
2025-02-05,4.6635,4.6635,4.6635,4.6635,0.0,4.6635,0
2025-02-06,4.6915,4.6915,4.6915,4.6915,0.0,4.6915,0
2025-02-07,4.817,4.817,4.817,4.817,0.0,4.817,0
2025-02-10,4.921,4.921,4.921,4.921,0.0,4.921,0
2025-02-11,4.8205,4.8205,4.8205,4.8205,0.0,4.8205,0
2025-02-12,4.937,4.937,4.937,4.937,0.0,4.937,0
2025-02-13,5.013,5.013,5.013,5.013,0.0,5.013,0
2025-02-14,4.9025,4.9025,4.9025,4.9025,0.0,4.9025,0
2025-02-17,4.9025,4.9025,4.9025,4.9025,0.0,4.9025,0
2025-02-18,4.85,4.85,4.85,4.85,0.0,4.85,0
2025-02-19,4.819,4.819,4.819,4.819,0.0,4.819,0
2025-02-20,4.8665,4.8665,4.8665,4.8665,0.0,4.8665,0
2025-02-21,4.8245,4.8245,4.8245,4.8245,0.0,4.8245,0
2025-02-24,4.7745,4.7745,4.7745,4.7745,0.0,4.7745,0
2025-02-25,4.74,4.74,4.74,4.74,0.0,4.74,0
2025-02-26,4.8025,4.8025,4.8025,4.8025,0.0,4.8025,0
2025-02-27,4.833,4.833,4.833,4.833,0.0,4.833,0
2025-02-28,4.7685,4.7685,4.7685,4.7685,0.0,4.7685,0
2025-03-03,4.8435,4.8435,4.8435,4.8435,0.0,4.8435,0
2025-03-04,4.7985,4.7985,4.7985,4.7985,0.0,4.7985,0
2025-03-05,5.0375,5.0375,5.0375,5.0375,0.0,5.0375,0
2025-03-06,5.0465,5.0465,5.0465,5.0465,0.0,5.0465,0
2025-03-07,4.9655,4.9655,4.9655,4.9655,0.0,4.9655,0
2025-03-10,4.934,4.934,4.934,4.934,0.0,4.934,0
2025-03-11,5.036,5.036,5.036,5.036,0.0,5.036,0
2025-03-12,5.125,5.125,5.125,5.125,0.0,5.125,0
2025-03-13,5.2055,5.2055,5.2055,5.2055,0.0,5.2055,0
2025-03-14,5.1785,5.1785,5.1785,5.1785,0.0,5.1785,0
2025-03-17,5.2455,5.2455,5.2455,5.2455,0.0,5.2455,0
2025-03-18,5.311,5.311,5.311,5.311,0.0,5.311,0
2025-03-19,5.3855,5.3855,5.3855,5.3855,0.0,5.3855,0
2025-03-20,5.4005,5.4005,5.4005,5.4005,0.0,5.4005,0
2025-03-21,5.405,5.405,5.405,5.405,0.0,5.405,0
2025-03-24,5.3815,5.3815,5.3815,5.3815,0.0,5.3815,0
2025-03-25,5.4925,5.4925,5.4925,5.4925,0.0,5.4925,0
2025-03-26,5.428,5.428,5.428,5.428,0.0,5.428,0
2025-03-27,5.3005,5.3005,5.3005,5.3005,0.0,5.3005,0
2025-03-28,5.3165,5.3165,5.3165,5.3165,0.0,5.3165,0
2025-03-31,5.2385,5.2385,5.2385,5.2385,0.0,5.2385,0
2025-04-01,5.2495,5.2495,5.2495,5.2495,0.0,5.2495,0
2025-04-02,5.2535,5.2535,5.2535,5.2535,0.0,5.2535,0
2025-04-03,5.0595,5.0595,5.0595,5.0595,0.0,5.0595,0
2025-04-04,4.6665,4.6665,4.6665,4.6665,0.0,4.6665,0
2025-04-07,4.468,4.468,4.468,4.468,0.0,4.468,0
2025-04-08,4.4345,4.4345,4.4345,4.4345,0.0,4.4345,0
2025-04-09,4.4815,4.4815,4.4815,4.4815,0.0,4.4815,0
2025-04-10,4.619,4.619,4.619,4.619,0.0,4.619,0
2025-04-11,4.8045,4.8045,4.8045,4.8045,0.0,4.8045,0
2025-04-14,4.922,4.922,4.922,4.922,0.0,4.922,0
2025-04-15,4.9175,4.9175,4.9175,4.9175,0.0,4.9175,0
2025-04-16,4.973,4.973,4.973,4.973,0.0,4.973,0
2025-04-17,5.02,5.02,5.02,5.02,0.0,5.02,0
2025-04-21,5.011,5.011,5.011,5.011,0.0,5.011,0
2025-04-22,5.1495,5.1495,5.1495,5.1495,0.0,5.1495,0
2025-04-23,5.1225,5.1225,5.1225,5.1225,0.0,5.1225,0
2025-04-24,5.14,5.14,5.14,5.14,0.0,5.14,0
2025-04-25,5.125,5.125,5.125,5.125,0.0,5.125,0
2025-04-28,5.111,5.111,5.111,5.111,0.0,5.111,0
2025-04-29,5.098,5.098,5.098,5.098,0.0,5.098,0
2025-04-30,4.8445,4.8445,4.8445,4.8445,0.0,4.8445,0
2025-05-01,4.8695,4.8695,4.8695,4.8695,0.0,4.8695,0
2025-05-02,4.9325,4.9325,4.9325,4.9325,0.0,4.9325,0
2025-05-05,4.9675,4.9675,4.9675,4.9675,0.0,4.9675,0
2025-05-06,5.0475,5.0475,5.0475,5.0475,0.0,5.0475,0
2025-05-07,4.944,4.944,4.944,4.944,0.0,4.944,0
2025-05-08,4.887,4.887,4.887,4.887,0.0,4.887,0
2025-05-09,4.9365,4.9365,4.9365,4.9365,0.0,4.9365,0
2025-05-12,4.9085,4.9085,4.9085,4.9085,0.0,4.9085,0
2025-05-13,5.0095,5.0095,5.0095,5.0095,0.0,5.0095,0
2025-05-14,4.9415,4.9415,4.9415,4.9415,0.0,4.9415,0
2025-05-15,4.963,4.963,4.963,4.963,0.0,4.963,0
2025-05-16,4.8765,4.8765,4.8765,4.8765,0.0,4.8765,0
2025-05-19,4.953,4.953,4.953,4.953,0.0,4.953,0
2025-05-20,4.936,4.936,4.936,4.936,0.0,4.936,0
2025-05-21,4.945,4.945,4.945,4.945,0.0,4.945,0
2025-05-22,4.9515,4.9515,4.9515,4.9515,0.0,4.9515,0
2025-05-23,5.1105,5.1105,5.1105,5.1105,0.0,5.1105,0
2025-05-27,5.0235,5.0235,5.0235,5.0235,0.0,5.0235,0
2025-05-28,4.9715,4.9715,4.9715,4.9715,0.0,4.9715,0
2025-05-29,4.9775,4.9775,4.9775,4.9775,0.0,4.9775,0
2025-05-30,4.9715,4.9715,4.9715,4.9715,0.0,4.9715,0
2025-06-02,5.1485,5.1485,5.1485,5.1485,0.0,5.1485,0
2025-06-03,5.1295,5.1295,5.1295,5.1295,0.0,5.1295,0
2025-06-04,5.175,5.175,5.175,5.175,0.0,5.175,0
2025-06-05,5.22,5.22,5.22,5.22,0.0,5.22,0
2025-06-06,5.145,5.145,5.145,5.145,0.0,5.145,0
2025-06-09,5.218,5.218,5.218,5.218,0.0,5.218,0
2025-06-10,5.185,5.185,5.185,5.185,0.0,5.185,0
2025-06-11,5.108,5.108,5.108,5.108,0.0,5.108,0
2025-06-12,5.126,5.126,5.126,5.126,0.0,5.126,0
2025-06-13,5.109,5.109,5.109,5.109,0.0,5.109,0
2025-06-16,5.137,5.137,5.137,5.137,0.0,5.137,0
2025-06-17,5.1055,5.1055,5.1055,5.1055,0.0,5.1055,0
2025-06-18,5.1455,5.1455,5.1455,5.1455,0.0,5.1455,0
2025-06-20,5.121,5.121,5.121,5.121,0.0,5.121,0
2025-06-23,5.135,5.135,5.135,5.135,0.0,5.135,0
2025-06-24,5.1625,5.1625,5.1625,5.1625,0.0,5.1625,0
2025-06-25,5.211,5.211,5.211,5.211,0.0,5.211,0
2025-06-26,5.3565,5.3565,5.3565,5.3565,0.0,5.3565,0
2025-06-27,5.3585,5.3585,5.3585,5.3585,0.0,5.3585,0
2025-06-30,5.3145,5.3145,5.3145,5.3145,0.0,5.3145,0
2025-07-01,5.3355,5.3355,5.3355,5.3355,0.0,5.3355,0
2025-07-02,5.44,5.44,5.44,5.44,0.0,5.44,0
2025-07-03,5.386,5.386,5.386,5.386,0.0,5.386,0
2025-07-07,5.271,5.271,5.271,5.271,0.0,5.271,0
2025-07-08,5.931,5.931,5.931,5.931,0.0,5.931,0
2025-07-09,5.6515,5.6515,5.6515,5.6515,0.0,5.6515,0
2025-07-10,5.769,5.769,5.769,5.769,0.0,5.769,0
2025-07-11,5.7865,5.7865,5.7865,5.7865,0.0,5.7865,0
2025-07-14,5.7365,5.7365,5.7365,5.7365,0.0,5.7365,0
2025-07-15,5.762,5.762,5.762,5.762,0.0,5.762,0
2025-07-16,5.7085,5.7085,5.7085,5.7085,0.0,5.7085,0
2025-07-17,5.6955,5.6955,5.6955,5.6955,0.0,5.6955,0
