date,open,high,low,close,volume,average,barCount
2024-04-30,4.608,4.608,4.608,4.608,0.0,4.608,0
2024-05-01,4.581,4.581,4.581,4.581,0.0,4.581,0
2024-05-02,4.5265,4.5265,4.5265,4.5265,0.0,4.5265,0
2024-05-03,4.5955,4.5955,4.5955,4.5955,0.0,4.5955,0
2024-05-06,4.6495,4.6495,4.6495,4.6495,0.0,4.6495,0
2024-05-07,4.6465,4.6465,4.6465,4.6465,0.0,4.6465,0
2024-05-08,4.591,4.591,4.591,4.591,0.0,4.591,0
2024-05-09,4.61,4.61,4.61,4.61,0.0,4.61,0
2024-05-10,4.6225,4.6225,4.6225,4.6225,0.0,4.6225,0
2024-05-13,4.686,4.686,4.686,4.686,0.0,4.686,0
2024-05-14,4.614,4.614,4.614,4.614,0.0,4.614,0
2024-05-15,4.695,4.695,4.695,4.695,0.0,4.695,0
2024-05-16,4.7415,4.7415,4.7415,4.7415,0.0,4.7415,0
2024-05-17,4.879,4.879,4.879,4.879,0.0,4.879,0
2024-05-20,4.9605,4.9605,4.9605,4.9605,0.0,4.9605,0
2024-05-21,4.962,4.962,4.962,4.962,0.0,4.962,0
2024-05-22,4.7735,4.7735,4.7735,4.7735,0.0,4.7735,0
2024-05-23,4.753,4.753,4.753,4.753,0.0,4.753,0
2024-05-24,4.7365,4.7365,4.7365,4.7365,0.0,4.7365,0
2024-05-27,4.7365,4.7365,4.7365,4.7365,0.0,4.7365,0
2024-05-28,4.8435,4.8435,4.8435,4.8435,0.0,4.8435,0
2024-05-29,4.808,4.808,4.808,4.808,0.0,4.808,0
2024-05-30,4.676,4.676,4.676,4.676,0.0,4.676,0
2024-05-31,4.6495,4.6495,4.6495,4.6495,0.0,4.6495,0
2024-06-03,4.6975,4.6975,4.6975,4.6975,0.0,4.6975,0
2024-06-04,4.5715,4.5715,4.5715,4.5715,0.0,4.5715,0
2024-06-05,4.5935,4.5935,4.5935,4.5935,0.0,4.5935,0
2024-06-06,4.675,4.675,4.675,4.675,0.0,4.675,0
2024-06-07,4.5275,4.5275,4.5275,4.5275,0.0,4.5275,0
